Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Field_Email_Default_SignIn""), 0)",,,,2022-12-19 14:39:16,2022-12-19 14:39:18,1.343s,PASSED
"setText(findTestObject(""Invalid_SignIn_And_SignUp/Field_Email_Default_SignIn""), email, 0)",,,,2022-12-19 14:39:18,2022-12-19 14:39:19,1.120s,PASSED
hideKeyboard(),,,,2022-12-19 14:39:19,2022-12-19 14:39:20,0.899s,PASSED
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Field_Password_Default_SignIn""), 0)",,,,2022-12-19 14:39:20,2022-12-19 14:39:20,0.696s,PASSED
"setText(findTestObject(""Invalid_SignIn_And_SignUp/Field_Password_Default_SignIn""), password, 0)",,,,2022-12-19 14:39:20,2022-12-19 14:39:22,1.176s,PASSED
hideKeyboard(),,,,2022-12-19 14:39:22,2022-12-19 14:39:24,2.110s,PASSED
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Button_SignIn""), 0)",,,,2022-12-19 14:39:24,2022-12-19 14:39:25,1.205s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-12-19 14:39:25,2022-12-19 14:39:30,5.017s,PASSED
"if (email == """")",,,,2022-12-19 14:39:30,2022-12-19 14:39:30,0.001s,PASSED
"else if (email.contains(""@gmail.com"") || email.contains(""@hms.com"") == false)",,,,2022-12-19 14:39:30,2022-12-19 14:39:30,0.245s,PASSED
,,,,,,,
Test Cases/A_PreCondition/TC_00_SignIn Invalid,,,,2022-12-19 14:39:30,2022-12-19 14:40:02,31.927s,PASSED
"startApplication(""C:\Users\User\Downloads\Mediclinic v.1.0.8.apk"", true)",,,,2022-12-19 14:39:30,2022-12-19 14:39:44,13.894s,PASSED
"tap(findTestObject(""Object Repository/invalid1/SignIn/android.view.View""), 0)",,,,2022-12-19 14:39:44,2022-12-19 14:39:45,1.166s,PASSED
"tap(findTestObject(""invalid1/invalid/Button_SplashScreen_SignIn""), 0)",,,,2022-12-19 14:39:45,2022-12-19 14:39:48,3.101s,PASSED
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Field_Email_Default_SignIn""), 0)",,,,2022-12-19 14:39:48,2022-12-19 14:39:50,1.411s,PASSED
"setText(findTestObject(""Invalid_SignIn_And_SignUp/Field_Email_Default_SignIn""), email, 0)",,,,2022-12-19 14:39:50,2022-12-19 14:39:51,1.215s,PASSED
hideKeyboard(),,,,2022-12-19 14:39:51,2022-12-19 14:39:52,0.894s,PASSED
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Field_Password_Default_SignIn""), 0)",,,,2022-12-19 14:39:52,2022-12-19 14:39:52,0.548s,PASSED
"setText(findTestObject(""Invalid_SignIn_And_SignUp/Field_Password_Default_SignIn""), password, 0)",,,,2022-12-19 14:39:52,2022-12-19 14:39:53,1.045s,PASSED
hideKeyboard(),,,,2022-12-19 14:39:53,2022-12-19 14:39:56,2.116s,PASSED
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Button_SignIn""), 0)",,,,2022-12-19 14:39:56,2022-12-19 14:39:57,1.241s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-12-19 14:39:57,2022-12-19 14:40:02,5.015s,PASSED
"if (email == """")",,,,2022-12-19 14:40:02,2022-12-19 14:40:02,0.001s,PASSED
"else if (email.contains(""@gmail.com"") || email.contains(""@hms.com"") == false)",,,,2022-12-19 14:40:02,2022-12-19 14:40:02,0.001s,PASSED
"else if (password == """")",,,,2022-12-19 14:40:02,2022-12-19 14:40:02,0.244s,PASSED
,,,,,,,
Test Cases/A_PreCondition/TC_00_SignIn Invalid,,,,2022-12-19 14:40:02,2022-12-19 14:40:34,32.373s,PASSED
"startApplication(""C:\Users\User\Downloads\Mediclinic v.1.0.8.apk"", true)",,,,2022-12-19 14:40:02,2022-12-19 14:40:16,14.252s,PASSED
"tap(findTestObject(""Object Repository/invalid1/SignIn/android.view.View""), 0)",,,,2022-12-19 14:40:16,2022-12-19 14:40:18,1.259s,PASSED
"tap(findTestObject(""invalid1/invalid/Button_SplashScreen_SignIn""), 0)",,,,2022-12-19 14:40:18,2022-12-19 14:40:21,3.289s,PASSED
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Field_Email_Default_SignIn""), 0)",,,,2022-12-19 14:40:21,2022-12-19 14:40:22,1.384s,PASSED
"setText(findTestObject(""Invalid_SignIn_And_SignUp/Field_Email_Default_SignIn""), email, 0)",,,,2022-12-19 14:40:22,2022-12-19 14:40:23,1.121s,PASSED
hideKeyboard(),,,,2022-12-19 14:40:23,2022-12-19 14:40:24,0.791s,PASSED
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Field_Password_Default_SignIn""), 0)",,,,2022-12-19 14:40:24,2022-12-19 14:40:25,0.608s,PASSED
"setText(findTestObject(""Invalid_SignIn_And_SignUp/Field_Password_Default_SignIn""), password, 0)",,,,2022-12-19 14:40:25,2022-12-19 14:40:26,1.042s,PASSED
hideKeyboard(),,,,2022-12-19 14:40:26,2022-12-19 14:40:28,2.155s,PASSED
"tap(findTestObject(""Invalid_SignIn_And_SignUp/Button_SignIn""), 0)",,,,2022-12-19 14:40:28,2022-12-19 14:40:29,1.194s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-12-19 14:40:29,2022-12-19 14:40:34,5.012s,PASSED
"if (email == """")",,,,2022-12-19 14:40:34,2022-12-19 14:40:34,0.002s,PASSED
"else if (email.contains(""@gmail.com"") || email.contains(""@hms.com"") == false)",,,,2022-12-19 14:40:34,2022-12-19 14:40:34,0.001s,PASSED
"else if (password == """")",,,,2022-12-19 14:40:34,2022-12-19 14:40:34,0.000s,PASSED
else if (password.length() < 5),,,,2022-12-19 14:40:34,2022-12-19 14:40:34,0.247s,PASSED
